date,source,description,amount
2021-02-26,"Business Checking","Google Easy Exp",5.99
2021-02-26,"Business Checking","Tab Snap Loan Payment",46.37
2021-02-28,"Business Checking","Plaid Pantries Wood",8.48
2021-02-28,"Business Checking","Plaid Pantries Wood",19.31
2021-02-28,"Business Checking","Google Cookapps",9.99
2021-02-28,"Business Checking","Prime Video",8.99
2021-02-28,"Business Checking","Google Corecraf",4.25
2021-03-01,"Business Checking","Google Kitxoo",1.35
2021-03-05,"Business Checking","Gsuit Auth",37.28
2021-03-05,"Business Checking","Tab Snap Loan Payment",46.37
2021-03-08,"Business Checking","Manageme Auth",99.00
2021-03-08,"Business Checking","Google A Skvort",2.49
2021-03-08,"Business Checking","Carl's Jr.",11.38
2021-03-09,"Business Checking","Deposit For Ope Ration Auth",39.35
2021-03-12,"Business Checking","Tab Snap Loan Payment",46.37
2021-03-15,"Business Checking","WinCo Foods",28.84
2021-03-15,"Business Checking","WinCo Foods",6.60
2021-03-15,"Business Checking","Google Cookapps",19.99
2021-03-15,"Business Checking","Google Bao Weiw",2.99
2021-03-15,"Business Checking","Carl's Jr.",10.38
2021-03-16,"Business Checking","United Pacific Gas Station",21.43
2021-03-19,"Business Checking","Ace Beaverton",9.45
2021-03-19,"Business Checking","Ace Beaverton",1.39
2021-03-19,"Business Checking","Tab Snap Loan Payment",46.37
2021-03-19,"Business Checking",ExxonMobil,56.68
2021-03-19,"Business Checking","Omo Food Cigs",14.53
2021-03-22,"Business Checking","Parkrose West Li",84.02
2021-03-22,"Business Checking",Arby's,9.54
2021-03-22,"Business Checking",Auth,11.98
2021-03-25,"Business Checking","Wilco Farm Store",16.28
2021-03-25,"Business Checking","H Mart",20.16
2021-03-26,"Business Checking","Google Boombit",9.99
2021-03-26,"Business Checking","Grocery Hillsboro",6.62
2021-03-26,"Business Checking","Tab Snap Loan Payment",46.37
2021-03-29,"Business Checking","Google Zeptolab",4.99
2021-03-29,"Business Checking","Google Easy Exp",5.99
2021-03-31,"Business Checking","Prime Video",8.99
2021-03-31,"Business Checking","Omo Food Cigs",5.98
2021-04-01,"Business Checking","Google Kitxoo",1.35
2021-04-02,"Business Checking","Tab Snap Loan Payment",46.37
2021-04-02,"Business Checking","Plaid Pantriy",8.54
2021-04-02,"Business Checking","Google Boombit",9.99
2021-04-02,"Business Checking","Cash Withdrawal",40.00
2021-04-05,"Business Checking","Google Gingerte",6.99
2021-04-09,"Business Checking","Non-Sufficient Funds",30.00
2021-05-01,"Business Checking","Oregon Secretary of State",100.00
2021-05-03,"Business Checking","West Data Draper Auth",79.00
2021-05-04,"Business Checking",Codecademy,39.99
2021-05-04,"Business Checking","Kitxoo Auth",1.35
2021-05-05,"Business Checking",Auth,12.00
2021-05-07,"Business Checking",Bill.com,0.57
2021-05-07,"Business Checking",Bill.com,0.93
2021-05-10,"Business Checking",Walgreens,10.77
2021-05-10,"Business Checking","Airport Parking",3.00
2021-05-13,"Business Checking","T Auth",122.65
2021-05-24,"Business Checking","Ai Games Mountain View Ca Auth",1.99
2021-05-24,"Business Checking","West Data Draper Auth",22.11
2021-05-28,"Business Checking","Googleappse Mountain View Ca Auth",0.99
2021-05-28,"Business Checking","West Data Draper Auth",22.11
2021-06-01,"Business Checking","Ai Games Mountain View Ca Auth",8.99
2021-06-01,"Business Checking","ATM Onpoint Community",20.00
2021-06-01,"Business Checking","Kitxoo Mountain View Ca Auth",1.35
2021-06-01,"Business Checking","T Auth",63.00
2021-06-01,"Business Checking","Boombit Gam Mountain View Ca Auth",9.99
2021-06-01,"Business Checking",Zmart,31.60
2021-06-02,"Business Checking","H Mart",1.99
2021-06-04,"Business Checking",Goodwill,33.96
2021-06-04,"Business Checking","Age Pacific King Auth",6.41
2021-06-07,"Business Checking","T Auth",59.88
2021-06-07,"Business Checking","Food Mart Portland",16.01
2021-06-08,"Business Checking","Hexage Mountain View Ca Auth",1.99
2021-06-08,"Business Checking","Hexage Mountain View Ca Auth",1.99
2021-06-10,"Business Checking","Hexage Mountain View Ca Auth",1.99
2021-06-10,"Business Checking",Portland,3.99
2021-06-11,"Business Checking","Hexage Mountain View Ca Auth",1.99
2021-06-11,"Business Checking",Albertsons,7.08
2021-06-14,"Business Checking","Pipes R N Lombard St Portlan Auth",4.00
2021-06-14,"Business Checking","Reliance Oil Beaverton",13.24
2021-06-14,"Business Checking",Square,0.01
2021-06-14,"Business Checking","West Data Draper Auth",22.11
2021-06-15,"Business Checking","Place Vend Clackamas",1.00
2021-06-15,"Business Checking","Red Auth",170.10
2021-06-16,"Business Checking",PostNet,132.00
2021-06-16,"Business Checking",PostNet,250.00
2021-06-16,"Business Checking","Group Fl Auth",49.99
2021-06-17,"Business Checking",Etsy,4.00
2021-06-18,"Business Checking","Liquor Store No Portland",4.05
2021-06-18,"Business Checking","West Data Draper Auth",4.89
2021-06-18,"Business Checking","Portland Mar",8.28
2021-06-18,"Business Checking","Portland Mar",9.63
2021-06-21,"Business Checking","Travel Center Portland",15.00
2021-06-21,"Business Checking","Travel Center Portland",3.69
2021-06-28,"Business Checking","West Data Draper Auth",439.44
2021-06-28,"Business Checking","Clarify Mobili Auth",285.40
2021-06-28,"Business Checking","Place Vend Clackamas",1.00
2021-06-28,"Business Checking","Place Vend Clackamas",1.00
2021-07-12,"Business Checking","D.C. United",24.88
2021-07-13,"Business Checking","Uber Eats",18.09
2021-07-13,"Business Checking","D.C. United",6.57
2021-07-14,"Business Checking","D.C. United",3.15
2021-07-27,"Business Checking","D.C. United",1.29
2021-07-28,"Business Checking",Payix.net,160.00
2021-07-29,"Business Checking","Mart Portland",6.19
2021-08-03,"Business Checking","Miscellaneous Debit White Knight Roadside Analysis Net Settlement Charge Service Fees Business Checking",8.00
2021-08-03,"Business Checking","Boombit Gam Mountain View Ca Auth",9.99
2021-08-04,"Business Checking",Payix.net,46.52
2021-08-05,"Business Checking","Hannah Honda Vancouver Wa Auth",10.80
2021-08-09,"Business Checking","Il Mountain View Ca Auth",0.99
2021-08-30,"Business Checking","Bearing Co Portland",71.92
2021-08-30,"Business Checking","Boombit Gam",9.99
2021-08-30,"Business Checking","Boombit Gam Auth",1.99
2021-08-30,"Business Checking","Boombit Gam Auth",9.99
2021-08-30,"Business Checking","D.C. United",7.86
2021-09-07,"Business Checking","Reliance Oil Beaverton",2.79
2021-09-07,"Business Checking","At Fishers Vancouver Wa Auth",67.11
2021-09-07,"Business Checking","Auto Parts Beaverton",59.46
2021-09-08,"Business Checking","Boombit Gam Mountain View Ca Auth",9.99
2021-09-08,"Business Checking","T Ivr Auth",95.91
2021-09-10,"Business Checking",Payix.net,1141.92
2021-09-10,"Business Checking","WinCo Foods",12.15
2021-09-10,"Business Checking","WinCo Foods",5.84
2021-09-10,"Business Checking","Place Vend Clackamas",1.00
2021-09-10,"Business Checking","Place Vend Clackamas",2.50
2021-09-10,"Business Checking","Place Vend Clackamas",1.00
2021-09-14,"Business Checking","Harvest Market",12.83
2021-09-15,"Business Checking","One Stop Battle Ground Wa Auth",13.61
2021-09-15,"Business Checking","One Stop Battle Ground Wa Auth",6.64
2021-09-16,"Business Checking","Market Inc Wa Auth",75.00
2021-09-20,"Business Checking","Place Vending Clackamas",1.00
2021-09-20,"Business Checking","Place Vending Clackamas",1.00
2021-09-20,"Business Checking","Place Vending Clackamas",1.35
2021-09-20,"Business Checking","Place Vending Clackamas",1.35
2021-09-20,"Business Checking","T Text Pay Auth",102.91
2021-09-20,"Business Checking","Boombit Game Support Googl Ca Auth",9.99
2021-09-20,"Business Checking","Market Beaverton",9.44
2021-09-20,"Business Checking","In Market Gresham",5.49
2021-09-22,"Business Checking","The Street Beaverton",2.00
2021-09-22,"Business Checking","Ind Tech Auth",117.90
2021-09-22,"Business Checking","Facebook Messenger Payment",300.00
2021-09-22,"Business Checking","Market Beaverton",24.56
2021-09-24,"Business Checking",PostNet,75.00
2021-09-24,"Business Checking","Boombit Game Support Googl Ca Auth",9.99
2021-09-27,"Business Checking","WinCo Foods",29.73
2021-09-27,"Business Checking","WinCo Foods",10.03
2021-09-27,"Business Checking","Corporati Ne Tenney Road Vanc Auth",8.16
2021-09-27,"Business Checking",Uber,18.26
2021-09-27,"Business Checking",Uber,10.00
2021-09-27,"Business Checking","Less Auto Part Auth",180.09
2021-09-27,"Business Checking","Borkowski Support Googl Ca Auth",4.99
2021-09-27,"Business Checking","Boombit Game Support Googl Ca Auth",9.99
2021-09-30,"Business Checking",Selfauthoring.com,29.90
2021-10-01,"Business Checking",Sherwood,7.58
2021-10-01,"Business Checking","Boombit Game Support Googl Ca Auth",9.99
2021-10-04,"Business Checking",Ancestry,24.99
2021-10-04,"Business Checking","Best Buy",104.98
2021-10-05,"Business Checking","Prineside Support Googl Ca Auth",2.99
2021-10-08,"Business Checking",Archives.com,9.99
2021-10-08,"Business Checking","Boombit Game Support Googl Ca Auth",9.99
2021-10-08,"Business Checking","Boombit Game Support Googl Ca Auth",9.99
2021-10-08,"Business Checking","Cedar Hills Parkway Portlan Auth",14.68
2021-10-12,"Business Checking","Boombit Game Support Googl Ca Auth",9.99
2021-10-13,"Business Checking","Oregon City",82.06
2021-10-13,"Business Checking","Oregon City",8.77
2021-10-15,"Business Checking",JOANN,4.79
2021-10-18,"Business Checking","Best Buy",15.88
2021-10-18,"Business Checking","Express Mark Farmington Bea Auth",14.99
2021-10-18,"Business Checking","T Ivr Auth",102.91
2021-10-19,"Business Checking","Auto Parts Tigard",28.98
2021-10-22,"Business Checking","Express Mark Farmington Bea Auth",10.75
2021-10-22,"Business Checking","Reliance Oil Beaverton",4.97
2021-10-25,"Business Checking","Impor Ne St Portl Auth",25.58
2021-10-25,"Business Checking","D.C. United",17.46
2021-10-25,"Business Checking","Mika Mobile Support Googl Ca Auth",4.99
2021-10-25,"Business Checking","Pub Clack Clackamas",20.00
2021-10-25,"Business Checking","Guy Auth",325.00
2021-10-25,"Business Checking","Place Vending Clackamas",1.00
2021-10-25,"Business Checking","D.C. United",5.17
2021-10-25,"Business Checking","Boombit Game Support Googl Ca Auth",9.99
2021-10-26,"Business Checking","Express Mark Farmington Bea Auth",12.80
2021-10-27,"Business Checking","Prineside Support Googl Ca Auth",4.99
2021-10-31,"Business Checking","Boombit Game Support Googl Ca Auth",9.99
2021-11-05,"Business Checking",Ancestry,24.99
2021-11-15,"Business Checking","Check #99624911",232.12
2021-11-29,"Business Checking",Square,554.45
2021-11-30,"Business Checking","World Inc Portland",63.00
2021-11-30,"Business Checking","Place Vending Clackamas",1.00
2021-12-01,"Business Checking","Phillips 66",74.55
2021-12-01,"Business Checking","Auth Purch",330.00
2021-12-01,"Business Checking","Auth Purch",601.00
2021-12-02,"Business Checking","Miscellaneous Debit White Knight Roadside Analysis Net Settlement Charge Service Fees Business Checking",8.00
2021-12-08,"Business Checking","Boombit Gam Auth Purch",9.99
2021-12-09,"Business Checking","Liquor Store Banks",9.05
2021-12-15,"Business Checking","Authority Auth Purch",139.20
2021-12-16,"Business Checking","Check #99607999",270.91
2021-12-17,"Business Checking","Post Auth Purch",39.95
2021-12-17,"Business Checking",Uber,9.03
2021-12-17,"Business Checking","Tools Auth Purch",228.31
2021-12-17,"Business Checking","American Express",551.09
2021-12-20,"Business Checking","At Fish Se Cascade Pa Van Auth Purch",63.76
2021-12-20,"Business Checking",Identifix,89.00
2021-12-22,"Business Checking","N Pull Por Portland",2.00
2021-12-22,"Business Checking","N Pull Por Portland",16.68
2021-12-24,"Business Checking",Caramps.com,42.90
2022-01-03,"Business Checking",REI,141.50
2022-01-05,"Business Checking","Authority Auth Purch",142.16
2022-01-07,"Business Checking","Facebook Messenger Payment - Kathy Douglas",85.00
2022-01-10,"Business Checking","Por Auth Purch",317.68
2022-01-18,"Business Checking","Authority Auth Purch",152.13
2022-01-18,"Business Checking","Marketplace Portland",7.58
2022-01-18,"Business Checking","Auto Parts Tigard",11.49
2022-01-18,"Business Checking","Auto Parts Tigard",169.99
2022-01-18,"Business Checking","Age Southeast Hig Clacka Auth Purch",9.41
2022-01-18,"Business Checking","Age Clackamas",60.48
2022-01-18,"Business Checking","Age Southeast Fost Portla Auth Purch",5.59
2022-01-18,"Business Checking","Boombit Game Support Googl Ca Auth Purch",9.99
2022-01-18,"Business Checking","Corecraft Support Googl Ca Auth Purch",1.05
2022-01-18,"Business Checking","Age Portland",69.25
2022-01-18,"Business Checking","Auto Parts Tigard",80.00
2022-01-18,"Business Checking",Identifix,89.00
2022-01-20,"Business Checking","T Auth Purch",108.99
2022-01-21,"Business Checking","Carl's Jr.",11.18
2022-01-24,"Business Checking","The Human Bean",2.75
2022-01-26,"Business Checking","Authority Auth Purch",208.66
2022-01-26,"Business Checking","Check #99220708",102.69
2022-01-28,"Business Checking","Authority Auth Purch",164.08
2022-01-31,"Business Checking","Willies E Mill Plain Vancouver Auth Purch",76.42
2022-01-31,"Business Checking","True Ne Jr Por Auth Purch",10.60
2022-01-31,"Business Checking","Curi Md Auth Purch",14.99
2022-01-31,"Business Checking","ATM Usaacatm",43.25
2022-01-31,"Business Checking","ATM Fee",2.00
2022-02-01,"Business Checking","Boombit Game Support Googl Ca Auth Purch",1.45
2022-02-02,"Business Checking","Por Auth Purch",308.43
2022-02-02,"Business Checking","Best Buy",61.99
2022-02-03,"Business Checking","Payment - Kathy Dougl",85.00
2022-02-07,"Business Checking","Media L Auth Purch",199.00
2022-02-07,"Business Checking","Mapspay Auth Purch",19.95
2022-02-07,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.20
2022-02-10,"Business Checking","Authority Auth Purch",51.50
2022-02-11,"Business Checking","Food Cigs Vaughn St Portla Auth Purch",12.75
2022-02-14,"Business Checking","Percent I Support Googl Ca Auth Purch",4.99
2022-02-15,"Business Checking","The Hartford",48.60
2022-02-17,"Business Checking",Identifix,89.00
2022-02-22,"Business Checking","Var Moto Auth Purch",168.00
2022-02-22,"Business Checking","WinCo Foods",56.48
2022-02-24,"Business Checking",Corsicanu,26.04
2022-02-25,"Business Checking","Post Auth Purch",48.95
2022-02-28,"Business Checking","Place Vending Clackamas",1.00
2022-02-28,"Business Checking","Facebook Messenger Payment - Kathy Douglas",85.00
2022-02-28,"Business Checking",Bumper.com,19.99
2022-02-28,"Business Checking","Replika Support Googl Ca Auth Purch",49.99
2022-03-04,"Business Checking","Check #99291830",43.11
2022-03-07,"Business Checking","Place Vending Clackamas",1.00
2022-03-07,"Business Checking","Place Vending Clackamas",1.35
2022-03-08,"Business Checking","Media L Auth Purch",199.00
2022-03-08,"Business Checking","Percent I Support Googl Ca Auth Purch",4.99
2022-03-09,"Business Checking","Mapspay Auth Purch",19.95
2022-03-09,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.20
2022-03-09,"Business Checking","Ai Dungeon Support Googl Ca Auth Purch",9.99
2022-03-09,"Business Checking","Tiktok Live Support Googl Ca Auth Purch",0.99
2022-03-09,"Business Checking","Attservicesi Support Googl Ca Auth Purch",3.99
2022-03-09,"Business Checking","Tiktok Live Support Googl Ca Auth Purch",0.99
2022-03-14,"Business Checking",Arby's,10.24
2022-03-14,"Business Checking",Arby's,4.19
2022-03-15,"Business Checking","D.C. United",45.19
2022-03-17,"Business Checking","Dollar Tree",7.35
2022-03-18,"Business Checking","Var Moto Auth Purch",168.00
2022-03-18,"Business Checking","Percent I Support Googl Ca Auth Purch",14.99
2022-03-21,"Business Checking","Place Vending Clackamas",1.35
2022-03-21,"Business Checking","Place Vending Clackamas",1.35
2022-03-21,"Business Checking","Authority Auth Purch",80.12
2022-03-21,"Business Checking","Parking Portland",4.00
2022-03-21,"Business Checking","Ai Games Support Googl Ca Auth Purch",4.99
2022-03-23,"Business Checking","Three Seven Ne Columbia Port Auth Purch",13.86
2022-03-23,"Business Checking","D.C. United",11.67
2022-03-28,"Business Checking","Place Vending Clackamas",1.35
2022-03-28,"Business Checking",Bumper.com,19.99
2022-03-28,"Business Checking",Uber,12.98
2022-03-28,"Business Checking","Food Cigs Vaughn St Portla Auth Purch",12.38
2022-03-28,"Business Checking","Ace Ne St Port Auth Purch",74.09
2022-03-30,"Business Checking","Tool Supp Auth Purch",38.38
2022-03-30,"Business Checking","Tool Supp Auth Purch",23.94
2022-03-30,"Business Checking","Facebook Messenger Payment - Kathy Douglas",85.00
2022-04-01,"Business Checking","Ace Ne St Port Auth Purch",48.56
2022-04-01,"Business Checking","D.C. United",11.55
2022-04-04,"Business Checking","Grocery Outlet",50.78
2022-04-04,"Business Checking","Union Market Ne M L King Por Auth Purch",21.20
2022-04-04,"Business Checking",Uber,14.94
2022-04-04,"Business Checking","D.C. United",49.57
2022-04-04,"Business Checking","Union Market Ne M L King Por Auth Purch",6.50
2022-04-04,"Business Checking","Office Max",38.56
2022-04-04,"Business Checking","Actionlaunc Auth Purch",6.99
2022-04-05,"Business Checking",HouseMart,17.98
2022-04-07,"Business Checking","Authority Auth Purch",98.87
2022-04-07,"Business Checking","D.C. United",14.61
2022-04-08,"Business Checking","Mapspay Auth Purch",19.95
2022-04-08,"Business Checking","Place Vending Clackamas",2.50
2022-04-08,"Business Checking","Place Vending Clackamas",1.00
2022-04-08,"Business Checking","Place Vending Clackamas",1.35
2022-04-08,"Business Checking","Miscellaneous Debit Visa Foreign Transaction Fee",0.20
2022-04-08,"Business Checking","Laundr Portland",2.50
2022-04-11,"Business Checking","Place Vending Clackamas",2.50
2022-04-11,"Business Checking","Place Vending Clackamas",1.35
2022-04-11,"Business Checking","Ai Dungeon Auth Purch",9.99
2022-04-11,"Business Checking","Place Vending Clackamas",2.00
2022-04-11,"Business Checking","Place Vending Clackamas",1.00
2022-04-11,"Business Checking","The Hartford",43.04
2022-04-11,"Business Checking","Food Mart Boring",16.37
2022-04-12,"Business Checking","Hillsdale Fo Portland",7.50
2022-04-14,"Business Checking","Express Mark Farmington Bea Auth Purch",22.86
2022-04-15,"Business Checking","Auto Parts Portland",17.48
2022-04-18,"Business Checking","ATM Fee",2.00
2022-04-18,"Business Checking",USConnect,3.25
2022-04-19,"Business Checking","Authority Auth Purch",146.15
2022-04-19,"Business Checking","Var Moto Auth Purch",168.00
2022-04-19,"Business Checking","Union Market Ne M L King Por Auth Purch",9.68
